artist,genres
Steve Petrunak,"['acoustic guitar cover', 'classify']"
DJ Taye,['footwork']
Sara Bareilles,"['acoustic pop', 'dance pop', 'hollywood', 'lilith', 'neo mellow', 'pop', 'pop rock']"
City Girls Featuring Cardi B,"['dance pop', 'pop', 'pop rap', 'r&b', 'scam rap', 'trap queen']"
Waka Flocka Flame Featuring Roscoe Dash & Wale,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Cute Is What We Aim For,"['neon pop punk', 'pixie', 'pop emo', 'pop punk']"
Abandoned By Light,['british black metal']
Rihanna Featuring David Guetta,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']"
Sergio Díaz De Rojas,"['compositional ambient', 'neo-classical']"
Max Richter,"['compositional ambient', 'post-minimalism']"
Métal Urbain,"['early french punk', 'french punk']"
Queen,"['classic rock', 'glam rock', 'rock']"
FX Sleep Creator,['asmr']
Michael Learns To Rock,"['boy band', 'danish pop rock']"
Bobby Timmons,"['bebop', 'hard bop', 'jazz', 'jazz piano', 'soul jazz', 'stride']"
Shawn Mendes X Zedd,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
Maren Morris,"['contemporary country', 'country', 'texas country']"
Steven Tyler,['modern country rock']
Glee Cast Featuring Jonathan Groff,"['glee club', 'hollywood', 'post-teen pop']"
Jenny Lewis,['indie pop']
Timbaland Featuring Katy Perry,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'urban contemporary']"
Arkaea,['cyber metal']
Caribou,"['alternative dance', 'chillwave', 'electronica', 'electropop', 'folktronica', 'indie rock', 'indie soul', 'indietronica', 'intelligent dance music', 'new rave']"
Drake Featuring Future,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Carolina Chocolate Drops,"['banjo', 'black americana', 'bluegrass', 'jug band', 'modern old-time', 'new americana', 'north carolina roots', 'old-time', 'progressive bluegrass']"
Patrick Doyle,"['british soundtrack', 'orchestral soundtrack', 'scorecore', 'soundtrack']"
Mr. Bill,"['deep psytrance', 'vapor twitch']"
Primal Fear,"['german metal', 'german power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'neo-trad metal', 'power metal', 'speed metal']"
Mindful Behaviour,['asmr']
The Bahama Soul Club,"['bboy', 'nu jazz']"
Mr. Probz,"['dutch hip hop', 'tropical house']"
Ayo & Teo,"['social media pop', 'trap']"
Bobo Stenson Trio,"['contemporary jazz', 'ecm-style jazz', 'jazz', 'jazz trio', 'modern jazz trio', 'norwegian jazz', 'swedish jazz']"
Katy Perry Featuring Nicki Minaj,"['dance pop', 'pop', 'post-teen pop']"
Kirko Bangz,"['dirty south rap', 'houston rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Bugseed,"['abstract beats', 'ambeat', 'chillhop', 'japanese beats', 'jazz boom bap']"
Phos Toni,['electro swing']
Gyptian,"['conscious hip hop', 'dancehall', 'lovers rock', 'modern reggae', 'reggae fusion']"
Judas Priest,"['album rock', 'birmingham metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock']"
Zac Efron & Zendaya,"['hollywood', 'post-teen pop', 'show tunes']"
Rag'n'Bone Man,['neo soul']
Varien,"['chillstep', 'downtempo', 'edm', 'electro house', 'filthstep', 'gaming edm', 'melodic dubstep']"
Rasmus Gozzi,"['danspunk', 'russelater']"
Meek Mill Featuring Tory Lanez,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Billy Currington,"['contemporary country', 'country', 'country road', 'modern country rock']"
Post Malone Featuring Ozzy Osbourne & Travis Scott,"['dfw rap', 'melodic rap', 'rap']"
The Weeknd Featuring Gesaffelstein,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Pitbull Featuring G.R.L.,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']"
Young Thug Featuring Lil Baby,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
YFN Lucci Featuring Migos & Trouble,"['arkansas hip hop', 'atl hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Shreya Ghoshal,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
秋元薫,['classic city pop']
Destiny Potato,['djent']
Terje Rypdal,"['contemporary jazz', 'dark jazz', 'ecm-style jazz', 'jazz fusion', 'jazz guitar', 'norwegian contemporary jazz', 'norwegian experimental', 'norwegian jazz']"
3OH!3 Featuring Ke$ha,"['dance pop', 'electropowerpop', 'modern rock', 'pop', 'pop punk', 'pop rap']"
Cody Johnson,"['contemporary country', 'country road', 'texas country']"
Lisa Lisa & Cult Jam,"['freestyle', 'funk', 'quiet storm', 'urban contemporary']"
The Polynesians,"['exotica', 'lounge']"
Tomppabeats,"['chillhop', 'japanese chillhop', 'lo-fi beats']"
Drake Featuring Kanye West,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Summer Walker X Drake,"['dance pop', 'pop', 'r&b']"
Razorlight,"['britpop', 'indie rock', 'modern rock', 'pop rock', 'rock']"
Vincent de Moor,"['bubble trance', 'dutch trance', 'trance', 'uplifting trance']"
Upon A Burning Body,"['deathcore', 'melodic metalcore', 'metalcore', 'texas metal']"
Factory Floor,"['deep gothic post-punk', 'grave wave']"
Russ & BIA,"['hawaiian hip hop', 'rap']"
Lil Yachty,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'underground hip hop']"
Tycho,"['chillwave', 'downtempo', 'electronica', 'indietronica', 'intelligent dance music']"
Eric Dolphy,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'free improvisation', 'free jazz', 'japanese jazz', 'jazz', 'jazz fusion']"
Bobby Brackins Featuring Ray J,"['cali rap', 'pop rap']"
Lil Jon Featuring Tyga,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'old school atlanta hip hop', 'pop rap', 'southern hip hop']"
Mary J. Blige Featuring Drake,"['dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
Area 42,['deep chill']
Track Circuit,['asmr']
Technohead,"['gabba', 'happy hardcore', 'hardcore techno']"
Post Malone Featuring Swae Lee,"['dfw rap', 'melodic rap', 'rap']"
Morbid Angel,"['black metal', 'brutal death metal', 'death metal', 'florida death metal', 'metal', 'technical death metal']"
Perfume Genius,"['art pop', 'chamber pop', 'chamber psych', 'chillwave', 'electropop', 'experimental pop', 'indie pop', 'indie rock', 'seattle indie']"
Paul Bley,"['avant-garde jazz', 'contemporary jazz', 'ecm-style jazz', 'free improvisation', 'free jazz', 'jazz', 'jazz piano']"
Camila Cabello,"['dance pop', 'pop', 'post-teen pop']"
Iggy Azalea Featuring M0,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop']"
36,"['ambient', 'compositional ambient', 'drift', 'drone', 'nu age', 'warm drone']"
Neon Trees,"['modern alternative rock', 'modern rock', 'pop rock', 'rock']"
Visions of Atlantis,"['austrian metal', 'gothic metal', 'gothic symphonic metal', 'melodic metal', 'neo classical metal', 'power metal', 'symphonic metal', 'symphonic power metal']"
Luke Bryan Featuring Karen Fairchild,"['contemporary country', 'country', 'country road']"
Lil Wyte,"['country rap', 'crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'pop rap', 'redneck', 'southern hip hop', 'trap']"
Summer Walker Featuring Jhene Aiko,"['dance pop', 'pop', 'r&b']"
G-Eazy Featuring Remo,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']"
Jennifer Lopez Featuring Pitbull,"['dance pop', 'pop', 'pop rap', 'urban contemporary']"
Rise Against,"['chicago hardcore', 'chicago punk', 'hardcore punk', 'punk']"
Steve Hauschildt,"['ambient', 'ambient techno', 'drift', 'drone', 'experimental synth', 'fourth world', 'hauntology', 'modular synth']"
Rascal Flatts Featuring Natasha Bedingfield,"['contemporary country', 'country', 'country road']"
The Anix,"['cyberpunk', 'future rock', 'industrial metal']"
Le Prince Miiaou,"['french indie pop', 'rock independant francais']"
Future & Young Thug Featuring Offset,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
The Weeknd Featuring Ed Sheeran,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Muni Yogi,['background music']
Bloodgood,"['christian metal', 'christian rock', 'deep christian rock']"
Jeremih Featuring YG,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
B.o.B Featuring 2 Chainz,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'pop rock', 'rap', 'southern hip hop']"
R. Kelly Featuring 2 Chainz,[]
RL Grime,"['bass trap', 'edm', 'electro house', 'electronic trap', 'electropop', 'pop dance', 'vapor twitch']"
Chris Brown Featuring Benny Benassi,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
Lillywood & Robin Schulz,"['french indie pop', 'french rock']"
"""Weird Al"" Yankovic","['comedy rock', 'comic', 'parody']"
Los Acosta,"['grupera', 'musica mexicana', 'ranchera', 'tropical']"
Steve Aoki & Louis Tomlinson,"['dance pop', 'edm', 'electro house', 'pop dance', 'pop rap', 'tropical house']"
Dzihan & Kamien,"['electro jazz', 'electronica', 'jazztronica', 'ninja', 'nu jazz', 'trip hop']"
Echoes Of Yul,"['atmospheric post-metal', 'drone metal', 'polish experimental']"
Kuselofte,['russelater']
YG Featuring Drake,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Lauren Duski,"['contemporary country', 'country pop', 'viral pop']"
Big Sean Featuring Wiz Khalifa,"['dance pop', 'edm', 'pop', 'pop dance', 'pop edm', 'pop rap', 'tropical house']"
Darcy Baylis,['australian electropop']
P!nk Featuring Chris Stapleton,"['dance pop', 'pop', 'post-teen pop']"
Eminem Featuring Joyner Lucas,"['detroit hip hop', 'hip hop', 'rap']"
Slaughterhouse Featuring Eminem,"['hip hop', 'pop rap', 'southern hip hop']"
John Legend,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']"
Kudasaibeats,"['lo-fi beats', 'lo-fi chill', 'sad lo-fi']"
Cloud Rat,"['chaotic hardcore', 'grindcore', 'mathcore', 'neo-crust', 'post-doom metal']"
Marcin Wasilewski Trio,"['contemporary jazz', 'dark jazz', 'ecm-style jazz', 'italian jazz', 'jazz', 'jazz fusion', 'jazz trio', 'modern jazz trio', 'norwegian jazz', 'polish jazz', 'polish modern jazz', 'swedish jazz']"
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko","['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
John Story,"['calming instrumental', 'environmental']"
No Return,[]
Club des Belugas,"['electro jazz', 'electro swing', 'nu jazz']"
FLETCHER,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'social media pop']"
Frenship & Emily Warren,"['electropop', 'indie electropop', 'indie poptimism', 'la pop', 'pop dance', 'tropical house']"
Sheryl Crow,"['lilith', 'mellow gold', 'neo mellow', 'new wave pop', 'permanent wave', 'pop rock', 'rock']"
H.E.R.,"['alternative r&b', 'dance pop', 'pop', 'r&b']"
Skrillex Featuring Sirah,"['brostep', 'complextro', 'edm', 'electro', 'pop rap']"
David Guetta Featuring Rihanna,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Bastille,"['metropopolis', 'modern rock', 'pop', 'pop rock']"
"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne","['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
MAX Featuring gnash,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']"
The Chainsmokers Featuring Rozes,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
FBG Duck,"['chicago drill', 'chicago rap', 'drill']"
Brooke Candy,"['dance pop', 'electropop', 'escape room', 'lgbtq+ hip hop', 'pink noise', 'pop', 'strut', 'trap queen']"
will.i.am Featuring Justin Bieber,"['dance pop', 'pop', 'pop rap']"
"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J","['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
The Poets Of Rhythm,"['afrobeat', 'funk', 'modern funk']"
Hans Zimmer,"['german soundtrack', 'orchestral soundtrack', 'soundtrack']"
Driicky Graham,['north carolina hip hop']
Scientist,"['dub', 'reggae', 'roots reggae']"
The Carters,"['pop', 'r&b', 'urban contemporary']"
Voyager,"['atmosphere', 'background music']"
Scooter,"['eurodance', 'europop', 'german techno', 'hamburg electronic', 'happy hardcore']"
Tankard,"['crossover thrash', 'death metal', 'german metal', 'german thrash metal', 'metal', 'new wave of thrash metal', 'old school thrash', 'speed metal', 'thrash metal']"
Fred Mollin,['disney piano']
Al Atkins,['birmingham metal']
Bobby Shmurda,"['nyc rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Pig Destroyer,"['american grindcore', 'death metal', 'deathgrind', 'grindcore', 'sludge metal', 'virginia metal']"
Quavo Featuring Lil Baby,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Grimes,"['art pop', 'canadian electropop', 'chillwave', 'dance pop', 'grave wave', 'indietronica', 'metropopolis', 'pop']"
Trey Songz Featuring Nicki Minaj,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
Prince,"['funk', 'funk rock', 'minneapolis sound', 'synth funk']"
Archspire,"['brutal death metal', 'canadian death metal', 'canadian metal', 'technical brutal death metal', 'technical death metal', 'vancouver metal']"
Eminem,"['detroit hip hop', 'hip hop', 'rap']"
Rudimental Featuring Ed Sheeran,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']"
L'Entourloop,['french reggae']
Dev,"['dance pop', 'electropop']"
Blake Shelton Featuring Trace Adkins,"['contemporary country', 'country', 'country road', 'oklahoma country']"
"Migos, Nicki Minaj & Cardi B","['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Mason Ramsey,"['contemporary country', 'country']"
Luke Bryan,"['contemporary country', 'country', 'country road']"
Doja Cat,"['dance pop', 'pop']"
窒息,"['chinese metal', 'chinese metalcore']"
Kodak Black Featuring Travis Scott & Offset,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']"
fun. Featuring Janelle Monae,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']"
DJ Snake & AlunaGeorge,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
Mindless Behavior Featuring Diggy,"['pop r&b', 'pop rap']"
Fitz And The Tantrums,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']"
Banda Carnaval,"['banda', 'musica mexicana', 'nueva musica mexicana', 'ranchera']"
Diddy - Dirty Money Featuring Skylar Grey,"['hip pop', 'pop rap', 'urban contemporary']"
Capital Cities,['metropopolis']
Zayn Featuring Sia,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']"
Nicki Minaj Featuring Chris Brown,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']"
Shontelle,"['barbadian pop', 'dance pop', 'post-teen pop', 'urban contemporary']"
Charlie Worsham,['modern country rock']
Swae Lee Featuring Drake,"['melodic rap', 'trap']"
Taetre,"['gothenburg metal', 'swedish melodeath']"
Diggy Featuring Jeremih,[]
The Carter Family,"['appalachian folk', 'bluegrass', 'country gospel', 'folk', 'old-time', 'traditional country', 'traditional folk', 'vocal harmony group']"
Real Friends,"['alternative emo', 'anthem emo', 'chicago pop punk', 'emo', 'pixie', 'pop punk']"
Logic Featuring Eminem,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
Perturbator,"['cyberpunk', 'dark clubbing', 'darksynth', 'synthwave']"
The Weeknd Featuring Daft Punk,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Black Elk,['compositional ambient']
JAY-Z,"['east coast hip hop', 'hip hop', 'rap']"
Kevin Morby,"['indie folk', 'indie rock', 'kc indie', 'modern folk rock']"
Anamanaguchi,"['bitpop', 'chiptune', 'future bass', 'indie game soundtrack', 'nintendocore']"
Of The Trees,"['electronic trap', 'experimental bass', 'vapor twitch']"
Kenny Wayne Shepherd,"['blues rock', 'classic rock', 'country rock', 'electric blues', 'modern blues', 'modern blues rock', 'rock']"
Calvin Harris Featuring Frank Ocean & Migos,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']"
Yella Beezy,"['dfw rap', 'houston rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Zhou Long,['chinese classical']
Steve Holy,"['contemporary country', 'country', 'country road', 'modern country rock']"
Chase Rice,"['contemporary country', 'country', 'country road', 'modern country rock']"
Jackie Gleason,"['adult standards', 'easy listening', 'exotica', 'lounge']"
Larry Sparks,"['bluegrass', 'bluegrass gospel', 'instrumental bluegrass', 'progressive bluegrass', 'traditional bluegrass']"
"Ke$ha Featuring Lil Wayne, Wiz Khalifa, T.I. & Andre 3000","['dance pop', 'electropop', 'pop', 'post-teen pop']"
Hammerhands,"['atmospheric sludge', 'progressive sludge']"
Milow,"['belgian pop', 'belgian rock', 'belgian singer-songwriter', 'dutch pop', 'dutch rock', 'german pop']"
Wham!,"['disco', 'europop', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Esperanza Spalding,"['electric bass', 'indie soul', 'jazz', 'jazz fusion', 'jazz pop', 'neo soul']"
Rick Ross Featuring Kanye West & Big Sean,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Lil Wayne Featuring Cory Gunz,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
David Guetta Featuring Chris Brown & Lil Wayne,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Wynton Kelly,"['bebop', 'hard bop', 'japanese jazz', 'jazz', 'jazz piano', 'stride']"
Lady Gaga,"['art pop', 'dance pop', 'pop']"
Ghostface Killah,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
Alasdair Roberts,"['british folk', 'scottish singer-songwriter']"
Asher Roth,"['alternative hip hop', 'indie pop rap', 'pop rap', 'rap']"
Abrasion,['autonomous black metal']
Meese,['denver indie']
Arcturus,"['avant-garde black metal', 'avant-garde metal', 'black metal', 'norwegian black metal', 'norwegian metal', 'sci-fi metal', 'symphonic black metal']"
Christian McBride,"['jazz trio', 'modern jazz trio']"
Sia Featuring Sean Paul,"['australian dance', 'australian pop', 'pop']"
"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B","['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
Agoraphobic Nosebleed,"['american grindcore', 'cybergrind', 'grindcore', 'noisecore', 'post-doom metal', 'powerviolence']"
Young Money,"['dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Naughty Boy Featuring Sam Smith,"['tropical house', 'uk contemporary r&b']"
Jungle Rot,"['brutal death metal', 'death metal', 'deathgrind', 'wisconsin metal']"
Lazy Hammock,"['chill lounge', 'deep chill']"
Tegan And Sara,"['canadian indie', 'indie pop', 'lilith', 'metropopolis', 'permanent wave', 'pop rock']"
Cage The Elephant,"['modern rock', 'punk blues', 'rock']"
Chris Duke and the Royals,['australian ska']
2 Chainz Featuring Kanye West,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Diddy - Dirty Money Featuring T.I.,"['hip pop', 'pop rap', 'urban contemporary']"
Alabama Shakes,"['alabama indie', 'modern blues rock', 'rock']"
The Stills,"['canadian indie', 'heartland rock', 'quebec indie']"
Buffalo Springfield,"['blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']"
Mariah Carey,"['dance pop', 'pop', 'urban contemporary']"
Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Fir Cone Children,['german shoegaze']
Max Styler,"['bass house', 'brostep', 'deep groove house', 'edm', 'electro house', 'house', 'pop edm']"
The Weeknd Featuring Kendrick Lamar,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Panic! At The Disco,['modern rock']
Attila,"['atlanta metal', 'deathcore', 'melodic metalcore', 'metalcore', 'nu-metalcore', 'rap metal', 'screamo']"
Plies,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
Harakiri for the Sky,"['austrian black metal', 'austrian metal', 'blackgaze', 'post-black metal']"
Fat Joe Featuring Chris Brown,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Tuomas Rantanen,"['finnish techno', 'hard techno']"
Charlie Puth,"['dance pop', 'pop', 'viral pop']"
Justin Bieber Featuring Usher,"['canadian pop', 'pop']"
A Boogie Wit da Hoodie Featuring Juice WRLD,"['melodic rap', 'rap', 'trap']"
KCamp Featuring 2 Chainz,"['atl hip hop', 'hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
Van Halen,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']"
Mabel,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']"
Taio Cruz Featuring Ke$ha,"['dance pop', 'pop', 'pop rap']"
Los Angeles Azules,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'tropical']"
IXION,"['atmospheric doom', 'funeral doom']"
Lonnie Brooks,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'louisiana blues', 'modern blues']"
TV Freaks,"['canadian hardcore', 'hamilton on indie']"
Minotauri,"['doom metal', 'epic doom', 'finnish doom metal', 'neo-trad doom metal']"
Nana Grizol,"['anti-folk', 'athens indie', 'bubblegrunge', 'elephant 6', 'folk punk', 'indie punk', 'indie rock', 'small room']"
Trey Songz Featuring Drake,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
Becky G Featuring Bad Bunny,"['dance pop', 'latin', 'latin viral pop', 'pop', 'rap latina', 'reggaeton']"
Queen Naija,"['pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
Defunk,[]
Manuel Lauren,[]
Bayside Worship,['ambient worship']
Fedel,"['christian hip hop', 'christian trap', 'gospel rap']"
NERO,"['drum and bass', 'edm', 'electro house', 'melodic dubstep']"
Drake Featuring Birdman,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Lack Of Afro,"['afrobeat', 'bboy', 'brass band', 'british soul', 'electronica', 'funk', 'nu jazz']"
Ital Tek,"['classic dubstep', 'footwork', 'future garage', 'uk bass', 'wonky']"
David Nail Featuring Sarah Buxton,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Kid Cudi Featuring Kanye West,"['hip hop', 'ohio hip hop', 'rap']"
Darius Rucker,"['black americana', 'contemporary country', 'country', 'country road']"
Spite,"['deathcore', 'downtempo deathcore', 'metallic hardcore', 'progressive deathcore']"
Nicki Minaj Featuring Ariana Grande,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']"
Ne-Yo Featuring Juicy J,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
Jupiter Grains,['atmosphere']
Tinie Tempah Featuring Eric Turner,"['dance pop', 'edm', 'grime', 'house', 'pop dance', 'pop rap', 'tropical house']"
Ed Sheeran Featuring Camila Cabello & Cardi B,"['pop', 'uk pop']"
Post Malone Featuring Ty Dolla $ign,"['dfw rap', 'melodic rap', 'rap']"
Clueless,['future garage']
Gibi ASMR,['asmr']
Justin Timberlake,"['dance pop', 'pop']"
Tee Grizzley,"['detroit hip hop', 'detroit trap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall","['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Obituary,"['brutal death metal', 'death metal', 'florida death metal', 'groove metal', 'metal']"
Pitbull Featuring Akon,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']"
Seth Gueko,"['french hip hop', 'old school rap francais', 'pop urbaine', 'rap inde']"
The Swon Brothers,"['contemporary country', 'country pop', 'deep talent show', 'oklahoma country']"
October Light,['german ccm']
Forward Strategy Group,"['minimal dub', 'scottish techno']"
The Damn Truth,['canadian rock']
Russell Haswell,"['british experimental', 'glitch', 'mandible', 'sound art', 'uk experimental electronic']"
Piotr Miteska,"['background music', 'focus']"
Sean Kingston Featuring Nicki Minaj,"['dance pop', 'miami hip hop', 'pop', 'post-teen pop', 'urban contemporary']"
Harry Styles,['pop']
Kap Kap,['finnish indie']
Tord Gustavsen Trio,"['contemporary jazz', 'dark jazz', 'ecm-style jazz', 'italian jazz', 'jazz', 'jazz fusion', 'jazz trio', 'modern jazz trio', 'norwegian jazz', 'swedish jazz']"
Seaway,"['alternative emo', 'anthem emo', 'canadian pop punk', 'canadian punk', 'easycore', 'pop punk']"
XXXTENTACION Featuring Kanye West & Travis Barker,"['emo rap', 'miami hip hop']"
Kiiara,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'pop']"
Lee Brice,"['contemporary country', 'country', 'country road', 'modern country rock']"
Stormwarrior,"['german metal', 'german power metal', 'neo classical metal', 'neo-trad metal', 'power metal', 'speed metal', 'symphonic power metal']"
Cascada,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'german techno', 'melbourne bounce international', 'pop rap']"
Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,"['dance pop', 'pop', 'r&b']"
John Mayer,"['neo mellow', 'pop rock', 'singer-songwriter']"
Lil Mosey x Gunna,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Julia Michaels,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
Gold Lounge,['chill lounge']
Don Omar & Lucenzo,"['latin', 'latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino']"
"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie","['emo rap', 'rap']"
Armin van Buuren Featuring Trevor Guthrie,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']"
Seether,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']"
VersaEmerge,"['candy pop', 'neon pop punk', 'pixie', 'pop emo']"
Howard Goodman,['southern gospel']
Blood Ages,['french death metal']
Bad Wolves,"['alternative metal', 'metal']"
Jaron And The Long Road To Love,"['contemporary country', 'country', 'country road', 'modern country rock']"
Ycee,"['afro dancehall', 'afropop', 'azontobeats', 'nigerian hip hop', 'nigerian pop']"
Protohype,"['dubstep', 'filthstep']"
Nicky Jam & Enrique Iglesias,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Deathchain,"['deathrash', 'finnish death metal']"
Bayonne,['austindie']
Jesse McCartney Featuring T-Pain,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'urban contemporary', 'viral pop']"
Peter Broderick,"['ambient', 'compositional ambient', 'drone', 'neo-classical', 'post-rock']"
Alesso Featuring Tove Lo,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
