artist,genres
Chris Brown Featuring Lil Wayne & Busta Rhymes,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
Drake Featuring Nicki Minaj,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
G-Space,['experimental bass']
DJ Luke Nasty,"['north carolina hip hop', 'trap']"
Archipel,['french indietronica']
Black Dawn,['finnish black metal']
Alan Walker,['electro house']
Kool Keith,"['abstract hip hop', 'alternative hip hop', 'bronx hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'turntablism']"
Kelly Clarkson,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']"
Jana Kramer,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'modern country rock']"
Marshmello,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
Javier Colon,"['deep talent show', 'viral pop']"
Sleeping At Last,"['ambient worship', 'chamber pop', 'pop']"
Lecrae,"['ccm', 'christian alternative rock', 'christian hip hop', 'christian music', 'worship']"
Jeezy,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Doctor P,"['brostep', 'complextro', 'dubstep', 'edm', 'electro house', 'electronic trap', 'filthstep', 'gaming dubstep', 'moombahton']"
Atilla,['calypso']
Camila Cabello Featuring DaBaby,"['dance pop', 'pop', 'post-teen pop']"
Sledding With Tigers,['folk punk']
David Guetta Featuring Akon,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Helloween,"['german metal', 'german power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'old school thrash', 'power metal', 'rock', 'speed metal']"
Pentatonix,['a cappella']
Nat King Cole,"['adult standards', 'lounge', 'vocal jazz']"
Ingrid Michaelson,"['acoustic pop', 'ectofolk', 'lilith', 'neo mellow', 'pop rock']"
Playboi Carti Featuring Lil Uzi Vert,"['atl hip hop', 'plugg', 'pluggnb', 'rap', 'trap']"
Sage The Gemini Featuring IamSu!,"['dance pop', 'hyphy', 'pop rap', 'rap', 'southern hip hop']"
William Prince,"['canadian indigenous', 'canadian singer-songwriter', 'deep new americana', 'manitoba country', 'manitoba indie']"
Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
Elder Island,"['electronica', 'indie soul', 'vapor soul']"
David Pfeffer,['german pop']
Maluma X Nego do Borel,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Mr Eazi,"['afro dancehall', 'afropop', 'ghanaian hip hop', 'nigerian pop', 'swedish dancehall']"
Days N Daze,"['acoustic punk', 'anti-folk', 'folk punk', 'texas punk']"
Beyond Helvete,['autonomous black metal']
Matt McAndrew,['deep talent show']
Wild Child,"['austin americana', 'austindie', 'deep new americana', 'folk-pop', 'indie folk', 'new americana', 'stomp and holler']"
Purity Ring,"['art pop', 'canadian electropop', 'chillwave', 'dark pop', 'dream pop', 'edmonton indie', 'electropop', 'grave wave', 'indietronica', 'metropopolis', 'shimmer pop']"
Anne Hathaway,['hollywood']
Raggarkungen,['danspunk']
Justin Bieber Featuring Nicki Minaj,"['canadian pop', 'pop']"
Adventure Club,"['brostep', 'canadian electronic', 'edm', 'electro house', 'electronic trap', 'electropop', 'filthstep', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']"
Usher Featuring Plies,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']"
Ivo Phi,['asmr']
In Aeternam Vale,"['grave wave', 'minimal wave']"
DJ Suede The Remix God,['viral trap']
Banda Los Sebastianes,"['banda', 'musica mexicana', 'nueva musica mexicana']"
John Prine,"['alternative country', 'country rock', 'folk', 'folk rock', 'mellow gold', 'new americana', 'roots rock', 'singer-songwriter']"
Enrique Iglesias Featuring Wisin,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']"
Exhumed,"['brutal death metal', 'death metal', 'deathgrind', 'goregrind', 'grindcore', 'technical death metal']"
Das Kabinette,"['grave wave', 'minimal wave', 'neue deutsche welle']"
Post Malone Featuring Future & Halsey,"['dfw rap', 'melodic rap', 'rap']"
Machine Gun Kelly Featuring Hailee Steinfeld,['ohio hip hop']
David Guetta Featuring Usher,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
MGK Featuring Waka Flocka Flame,['ohio hip hop']
Chihei Hatakeyama,"['ambient', 'art pop', 'compositional ambient', 'drift', 'drone', 'experimental ambient', 'fourth world', 'j-ambient']"
fun.,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']"
Dangerous,['chilean metal']
Kat Frankie,['german indie']
OMI,['dance pop']
Bad Bunny Featuring Drake,"['latin', 'reggaeton', 'trap latino']"
Metro Boomin Featuring 21 Savage,"['hip hop', 'rap', 'southern hip hop', 'trap']"
The Mountain Goats,"['alternative rock', 'anti-folk', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'melancholia', 'new weird america', 'stomp and holler']"
Killswitch Engage,"['alternative metal', 'boston metal', 'melodic metalcore', 'metalcore', 'nu metal']"
Panzerchrist,"['danish death metal', 'danish metal', 'death metal']"
Led Er Est,"['dark post-punk', 'grave wave', 'minimal wave']"
Lil Wayne Featuring Big Sean,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Beach Fossils,"['brooklyn indie', 'chillwave', 'dream pop', 'dreamo', 'indie garage rock', 'indie rock', 'indie surf', 'popgaze', 'shoegaze']"
The American Dollar,"['american post-rock', 'compositional ambient', 'focus', 'instrumental post-rock', 'post-rock']"
Anne Dudley,"['british soundtrack', 'classic soundtrack', 'scorecore', 'soundtrack']"
